


Start at 28-10-2015, 15:49:32

28-10-2015, 15:49:46cx=118, cy=28, region=F



Start at 28-10-2015, 15:51:10

28-10-2015, 15:53:24cx=-1, cy=-1, region=R
28-10-2015, 15:53:25cx=223, cy=35, region=F
28-10-2015, 15:53:26cx=246, cy=60, region=F
28-10-2015, 15:53:27cx=246, cy=60, region=F
28-10-2015, 15:53:28cx=235, cy=49, region=F
28-10-2015, 15:53:30cx=246, cy=61, region=F
28-10-2015, 15:53:31cx=246, cy=60, region=F
28-10-2015, 15:53:32cx=244, cy=60, region=F
28-10-2015, 15:53:33cx=245, cy=62, region=F
28-10-2015, 15:53:34cx=207, cy=36, region=F
28-10-2015, 15:53:35cx=90, cy=33, region=F
28-10-2015, 15:53:36cx=90, cy=33, region=F
28-10-2015, 15:53:37cx=91, cy=32, region=F
28-10-2015, 15:53:38cx=91, cy=35, region=F
28-10-2015, 15:53:39cx=92, cy=35, region=F
28-10-2015, 15:53:41cx=207, cy=145, region=R
28-10-2015, 15:53:42cx=179, cy=69, region=F
28-10-2015, 15:53:43cx=177, cy=69, region=F
28-10-2015, 15:53:44cx=174, cy=71, region=F
28-10-2015, 15:53:45cx=165, cy=60, region=F
28-10-2015, 15:53:46cx=96, cy=69, region=F
28-10-2015, 15:53:47cx=282, cy=87, region=R
28-10-2015, 15:53:48cx=111, cy=170, region=L
28-10-2015, 15:53:49cx=166, cy=120, region=F
28-10-2015, 15:53:50cx=151, cy=167, region=L
28-10-2015, 15:53:52cx=157, cy=159, region=F
28-10-2015, 15:53:53cx=158, cy=164, region=F
28-10-2015, 15:53:54cx=156, cy=164, region=F
28-10-2015, 15:53:55cx=158, cy=163, region=F
28-10-2015, 15:53:56cx=159, cy=165, region=F
28-10-2015, 15:53:57cx=158, cy=164, region=F
28-10-2015, 15:53:58cx=166, cy=163, region=F
28-10-2015, 15:53:59cx=271, cy=151, region=R
28-10-2015, 15:54:00cx=237, cy=115, region=R
28-10-2015, 15:54:02cx=232, cy=116, region=R
28-10-2015, 15:54:03cx=232, cy=110, region=R
28-10-2015, 15:54:04cx=257, cy=89, region=R
28-10-2015, 15:54:05cx=234, cy=109, region=R
28-10-2015, 15:54:06cx=128, cy=47, region=F
28-10-2015, 15:54:07cx=84, cy=77, region=F
28-10-2015, 15:54:08cx=95, cy=57, region=F
28-10-2015, 15:54:09cx=225, cy=85, region=F
28-10-2015, 15:54:10cx=288, cy=73, region=R
28-10-2015, 15:54:11cx=221, cy=82, region=F
28-10-2015, 15:54:13cx=202, cy=96, region=F
28-10-2015, 15:54:14cx=210, cy=101, region=F
28-10-2015, 15:54:15cx=190, cy=74, region=F
28-10-2015, 15:54:16cx=186, cy=83, region=F
28-10-2015, 15:54:17cx=228, cy=128, region=R
28-10-2015, 15:54:18cx=250, cy=132, region=R
28-10-2015, 15:54:19cx=244, cy=119, region=R
28-10-2015, 15:54:20cx=245, cy=107, region=R
28-10-2015, 15:54:21cx=234, cy=119, region=R
28-10-2015, 15:54:22cx=233, cy=114, region=R
28-10-2015, 15:54:24cx=242, cy=103, region=R
28-10-2015, 15:54:25cx=232, cy=105, region=R
28-10-2015, 15:54:26cx=200, cy=104, region=F
28-10-2015, 15:54:27cx=207, cy=94, region=F
28-10-2015, 15:54:28cx=214, cy=96, region=F
28-10-2015, 15:54:29cx=215, cy=98, region=F
28-10-2015, 15:54:30cx=186, cy=108, region=F
28-10-2015, 15:54:31cx=184, cy=112, region=F
28-10-2015, 15:54:32cx=188, cy=112, region=F
28-10-2015, 15:54:33cx=183, cy=112, region=F
28-10-2015, 15:54:35cx=189, cy=112, region=F
28-10-2015, 15:54:36cx=198, cy=112, region=F
28-10-2015, 15:54:37cx=190, cy=115, region=F
28-10-2015, 15:54:38cx=194, cy=126, region=F
28-10-2015, 15:54:39cx=195, cy=125, region=F
28-10-2015, 15:54:40cx=202, cy=125, region=R
28-10-2015, 15:54:41cx=192, cy=128, region=F
28-10-2015, 15:54:42cx=197, cy=136, region=R
28-10-2015, 15:54:43cx=196, cy=135, region=R
28-10-2015, 15:54:44cx=196, cy=131, region=R
28-10-2015, 15:54:46cx=255, cy=29, region=F
28-10-2015, 15:54:47cx=264, cy=113, region=R
28-10-2015, 15:54:48cx=260, cy=105, region=R
28-10-2015, 15:54:49cx=257, cy=101, region=R
28-10-2015, 15:54:50cx=256, cy=101, region=R
28-10-2015, 15:54:51cx=247, cy=119, region=R
28-10-2015, 15:54:52cx=248, cy=106, region=R
28-10-2015, 15:54:53cx=263, cy=100, region=R
28-10-2015, 15:54:54cx=260, cy=103, region=R
28-10-2015, 15:54:56cx=263, cy=94, region=R
28-10-2015, 15:54:57cx=258, cy=112, region=R
28-10-2015, 15:54:58cx=243, cy=110, region=R
28-10-2015, 15:54:59cx=245, cy=100, region=R
28-10-2015, 15:55:00cx=247, cy=115, region=R
28-10-2015, 15:55:01cx=235, cy=117, region=R
28-10-2015, 15:55:02cx=247, cy=106, region=R
28-10-2015, 15:55:03cx=251, cy=97, region=R
28-10-2015, 15:55:04cx=260, cy=110, region=R
28-10-2015, 15:55:05cx=252, cy=99, region=R
28-10-2015, 15:55:07cx=269, cy=110, region=R
28-10-2015, 15:55:08cx=262, cy=110, region=R
28-10-2015, 15:55:09cx=257, cy=101, region=R
28-10-2015, 15:55:10cx=245, cy=121, region=R
28-10-2015, 15:55:11cx=249, cy=101, region=R
28-10-2015, 15:55:12cx=239, cy=106, region=R
28-10-2015, 15:55:13cx=226, cy=127, region=R
28-10-2015, 15:55:14cx=224, cy=139, region=R
28-10-2015, 15:55:15cx=250, cy=126, region=R
28-10-2015, 15:55:16cx=249, cy=126, region=R
28-10-2015, 15:55:18cx=269, cy=103, region=R
28-10-2015, 15:55:19cx=251, cy=101, region=R
28-10-2015, 15:55:20cx=253, cy=97, region=R
28-10-2015, 15:55:21cx=240, cy=100, region=R
28-10-2015, 15:55:22cx=243, cy=102, region=R
28-10-2015, 15:55:23cx=235, cy=110, region=R
28-10-2015, 15:55:24cx=235, cy=128, region=R
28-10-2015, 15:55:25cx=213, cy=136, region=R
28-10-2015, 15:55:26cx=214, cy=156, region=R
28-10-2015, 15:55:27cx=231, cy=131, region=R
28-10-2015, 15:55:29cx=249, cy=153, region=R
28-10-2015, 15:55:30cx=239, cy=155, region=R
28-10-2015, 15:55:31cx=237, cy=152, region=R
28-10-2015, 15:55:32cx=240, cy=148, region=R
28-10-2015, 15:55:33cx=237, cy=140, region=R
28-10-2015, 15:55:34cx=290, cy=15, region=R
28-10-2015, 15:55:35cx=35, cy=176, region=L
28-10-2015, 15:55:36cx=34, cy=175, region=L
28-10-2015, 15:55:37cx=34, cy=190, region=L
28-10-2015, 15:55:39cx=32, cy=190, region=L
28-10-2015, 15:55:40cx=32, cy=189, region=L
28-10-2015, 15:55:41cx=30, cy=188, region=L
28-10-2015, 15:55:42cx=32, cy=191, region=L
28-10-2015, 15:55:43cx=32, cy=191, region=L
28-10-2015, 15:55:44cx=29, cy=190, region=L
28-10-2015, 15:55:45cx=27, cy=195, region=L
28-10-2015, 15:55:46cx=156, cy=33, region=F
28-10-2015, 15:55:47cx=150, cy=33, region=F
28-10-2015, 15:55:48cx=148, cy=31, region=F
28-10-2015, 15:55:50cx=147, cy=31, region=F
28-10-2015, 15:55:51cx=154, cy=92, region=F
28-10-2015, 15:55:52cx=128, cy=113, region=F
28-10-2015, 15:55:53cx=127, cy=109, region=F
28-10-2015, 15:55:54cx=119, cy=113, region=F
28-10-2015, 15:55:55cx=122, cy=116, region=F
28-10-2015, 15:55:56cx=122, cy=226, region=R
28-10-2015, 15:55:57cx=142, cy=217, region=R
28-10-2015, 15:55:58cx=143, cy=216, region=R
28-10-2015, 15:55:59cx=98, cy=198, region=L
28-10-2015, 15:56:01cx=104, cy=202, region=L
28-10-2015, 15:56:02cx=98, cy=208, region=L
28-10-2015, 15:56:03cx=99, cy=208, region=L
28-10-2015, 15:56:04cx=113, cy=197, region=L
28-10-2015, 15:56:05cx=113, cy=197, region=L
28-10-2015, 15:56:06cx=112, cy=197, region=L
28-10-2015, 15:56:07cx=113, cy=197, region=L
28-10-2015, 15:56:08cx=236, cy=174, region=R
28-10-2015, 15:56:09cx=216, cy=126, region=R
28-10-2015, 15:56:10cx=229, cy=129, region=R
28-10-2015, 15:56:12cx=245, cy=103, region=R
28-10-2015, 15:56:13cx=248, cy=101, region=R
28-10-2015, 15:56:14cx=248, cy=101, region=R
28-10-2015, 15:56:15cx=248, cy=97, region=R
28-10-2015, 15:56:16cx=203, cy=111, region=F
28-10-2015, 15:56:17cx=149, cy=78, region=F
28-10-2015, 15:56:18cx=192, cy=72, region=F
28-10-2015, 15:56:19cx=190, cy=72, region=F
28-10-2015, 15:56:20cx=194, cy=73, region=F
28-10-2015, 15:56:21cx=194, cy=72, region=F
28-10-2015, 15:56:23cx=192, cy=72, region=F
28-10-2015, 15:56:24cx=194, cy=73, region=F
28-10-2015, 15:56:25cx=191, cy=56, region=F
28-10-2015, 15:56:26cx=194, cy=73, region=F
28-10-2015, 15:56:27cx=190, cy=72, region=F
28-10-2015, 15:56:28cx=194, cy=72, region=F
28-10-2015, 15:56:29cx=194, cy=73, region=F
28-10-2015, 15:56:30cx=192, cy=72, region=F
28-10-2015, 15:56:31cx=194, cy=72, region=F
28-10-2015, 15:56:33cx=192, cy=72, region=F
28-10-2015, 15:56:34cx=192, cy=72, region=F
28-10-2015, 15:56:35cx=193, cy=72, region=F
28-10-2015, 15:56:36cx=193, cy=72, region=F
28-10-2015, 15:56:37cx=194, cy=72, region=F
28-10-2015, 15:56:38cx=193, cy=72, region=F
28-10-2015, 15:56:39cx=207, cy=79, region=F
28-10-2015, 15:56:40cx=208, cy=79, region=F
28-10-2015, 15:56:41cx=207, cy=79, region=F
28-10-2015, 15:56:42cx=196, cy=73, region=F
28-10-2015, 15:56:44cx=209, cy=79, region=F
28-10-2015, 15:56:45cx=209, cy=79, region=F
28-10-2015, 15:56:46cx=194, cy=73, region=F
28-10-2015, 15:56:47cx=195, cy=73, region=F
28-10-2015, 15:56:48cx=208, cy=79, region=F
28-10-2015, 15:56:49cx=196, cy=73, region=F
28-10-2015, 15:56:50cx=210, cy=79, region=F
28-10-2015, 15:56:51cx=207, cy=78, region=F
28-10-2015, 15:56:52cx=210, cy=79, region=F
28-10-2015, 15:56:53cx=194, cy=73, region=F
28-10-2015, 15:56:55cx=195, cy=74, region=F
28-10-2015, 15:56:56cx=208, cy=79, region=F
28-10-2015, 15:56:57cx=195, cy=74, region=F
28-10-2015, 15:56:58cx=209, cy=79, region=F
28-10-2015, 15:56:59cx=194, cy=73, region=F
28-10-2015, 15:57:00cx=195, cy=74, region=F
28-10-2015, 15:57:01cx=196, cy=73, region=F
28-10-2015, 15:57:02cx=196, cy=73, region=F
28-10-2015, 15:57:03cx=210, cy=79, region=F
28-10-2015, 15:57:04cx=196, cy=73, region=F
28-10-2015, 15:57:06cx=194, cy=73, region=F
28-10-2015, 15:57:07cx=206, cy=79, region=F
28-10-2015, 15:57:08cx=198, cy=116, region=F
28-10-2015, 15:57:09cx=201, cy=64, region=F
28-10-2015, 15:57:10cx=193, cy=73, region=F
28-10-2015, 15:57:11cx=207, cy=79, region=F
28-10-2015, 15:57:12cx=194, cy=74, region=F
28-10-2015, 15:57:13cx=210, cy=79, region=F
28-10-2015, 15:57:14cx=207, cy=78, region=F
28-10-2015, 15:57:15cx=209, cy=79, region=F
28-10-2015, 15:57:17cx=196, cy=73, region=F
28-10-2015, 15:57:18cx=193, cy=73, region=F
28-10-2015, 15:57:19cx=195, cy=73, region=F
28-10-2015, 15:57:20cx=193, cy=73, region=F
